name,comments,labels,pull_request,state,reactions,user,author_association
ActiveStorage :host in subfolder,0,activestorage,no,open,0,exocode,NONE
Add additional content injection prevention to form HTML,8,docs-actionview,no,open,0,camertron,NONE
Make Notifications::Fanout faster and safer,0,activesupport,no,open,0,jhawthorn,MEMBER
`form_with`: Attempt to call to_model on `model:`,1,actionview,no,open,0,seanpdoyle,CONTRIBUTOR
Use clusivity for numericality with :in or :within,0,activemodel,no,open,0,SkipKayhil,CONTRIBUTOR
Document some Application::Configuration as accessors [ci-skip],0,railties,no,open,0,p8,MEMBER
[activerecord] `numericality: {in: ...}` should accept an Array or Set of explicit values,3,activerecord,no,open,0,postmodern,CONTRIBUTOR
validates_with can't be used with multiple Validators when the options hash must contain :attributes,2,activemodel-attached PR,no,open,0,dspaeth-lp,NONE
`# :nodoc:` on ActiveModel::Errors#copy!,0,activemodel,no,open,0,jameno,NONE
PoC: Active Record API for general async queries,0,activerecord,no,open,0,casperisfine,CONTRIBUTOR
Cast `ActiveSupport::Duration` to postgres interval (#44341),8,activerecord-docs-PostgreSQL,no,open,0,aramgre,NONE
Update tests and docs for ActiveRecord::Sanitization,0,activerecord,no,open,0,kmcphillips,CONTRIBUTOR
ActionCable ignores WebSocket protocol making the connection close with status 1066,0,actioncable,no,open,0,fabiolnm,CONTRIBUTOR
Enumerable#many? in line with Enumerable#any?,3,activesupport,no,open,0,eval,CONTRIBUTOR
Update action_text/index.js,0,actiontext,no,open,0,Tarbetu,NONE
Arel::UpdateManager with join statement on a sqlite and postgres database are invalid,1,activerecord-With reproduction steps,no,open,0,gagalago,NONE
ActiveRecord::RecordNotFound error in fixture array when deleting or destroying objects through model callbacks during test execution,3,activerecord,no,open,0,jlucartc,NONE
Remove LIMIT and OFFSET on relations when batch iterating,0,activerecord,no,open,0,drcapulet,CONTRIBUTOR
Tests related do #40226 fail.,2,third party issue-activestorage,no,open,0,pvalena,CONTRIBUTOR
f.submit: Set the the value of the explicit `:value` option to the value of `data-disable-with` ,0,actionview,no,open,0,noriyotcp,NONE
fix activestorage update,1,activestorage,no,open,0,piecehealth,CONTRIBUTOR
Load activestorage services after the config has been initialised,0,activestorage,no,open,0,ghousemohamed,CONTRIBUTOR
Add `Model` type to Active Model attributes,1,activemodel,no,open,0,nvasilevski,CONTRIBUTOR
Add assertion to ensure `ActiveRecord::Migration::MIGRATOR_SALT` isn't changed,2,activerecord,no,open,0,paarthmadan,CONTRIBUTOR
Support all `:dependent` options for `has_one_attached` and `has_many_attached`,0,activestorage,no,open,0,fatkodima,CONTRIBUTOR
Raise exception if Active Storage is configured and `config.active_storage.service` is not explicitly set,1,activestorage,no,open,0,ghousemohamed,CONTRIBUTOR
Provide change summary before details for all gems,0,null,no,open,0,mohits,NONE
Handle dependent: nil on ActiveStorage attachments,5,activestorage,no,open,0,ryanseys,NONE
Comparison queries against nullable UUID column in postgres should use `IS [NOT] DISTINCT FROM` instead of `[!]=`,2,activerecord,no,open,0,JoeWoodward,NONE
Mention Shakapacker for the updated Webpacker.,3,docs,no,open,0,justin808,CONTRIBUTOR
Add an index to the guides,0,docs,no,open,0,martindemello,NONE
Improve handling of overlapping events,1,activesupport,no,open,0,jaynetics,CONTRIBUTOR
`ActiveSupport::Notification`: bugs with overlapping events and subscriptions,2,activesupport,no,open,0,jaynetics,CONTRIBUTOR
